NOME,BUSCABR_SEM_VOGAL,BUSCABR,ROBERTO,METAPHONEBR,RSLP,SNOW,CHAVESOUNDEX
ABDALA,BDR,ABDARA,ABDAL,ABDL,ABDAL,ABDAL,A134
ABDIAS,BD,ABDIA,BDIAS,ABDS,ABD,ABDI,A132
ABEILARD,BRD,ABEIRARD,BLARD,ABLRD,ABEILARD,ABEILARD,A1463
ABEL,B,ABE,ABL,ABL,ABEL,ABEL,A14
ABELA,BR,ABERA,ABL,ABL,ABEL,ABEL,A14
ABELARD,BRD,ABERARD,BLARD,ABLRD,ABELARD,ABELARD,A1463
ABELINO,BRM,ABERIMO,BLNO,ABLN,ABELIN,ABELIN,A145
ABIA,B,ABIA,ABIA,AB,ABI,ABI,A1
ABIANOR,BM,ABIAMO,BIANOR,ABN2,ABIAN,ABIANOR,A156
ABIDIAS,BD,ABIDIA,BDIAS,ABDS,ABID,ABID,A132
ABIGAIL,BG,ABIGAI,BGAIL,ABGL,ABIGAIL,ABIGAIL,A124
ABILIO,BR,ABIRIO,BLIO,ABL,ABILI,ABILI,A14
ABINER,BM,ABIME,ABNR,ABN2,ABIN,ABIN,A156
ABIZAI,BS,ABISAI,BSAI,ABZ,ABIZ,ABIZA,A12
ABNE,BM,ABME,ABN,ABN,ABN,ABNE,A15
ABNER,BM,ABME,ABNR,ABN2,ABN,ABNER,A156
ABRAAO,B,ABA,ABRAO,ABR,ABRAA,ABRAA,A16
ABRAO,B,AB,ABRAO,ABR,ABRA,ABRA,A16
ACACIO,KS,AKSO,CSIO,AKS,ACACI,ACACI,A2
ACEDINA,SDM,ASDIMA,SDNA,ASDN,ACEDIN,ACEDIN,A235
ACEDINO,SDM,ASDIMO,SDNO,ASDN,ACEDIN,ACEDIN,A235
ACHILLES,SR,ASIRE,XLIS,AXLLS,ACHILL,ACHILL,A242
ACIONE,SM,ASOME,SIONE,ASN,ACION,ACION,A25
ACIONIL,SM,ASOMI,SIONIL,ASNL,ACIONIL,ACIONIL,A254
ACIR,S,AS,ASR,AS2,ACIR,ACIR,A26
ACRIZIO,KRS,AKRISIO,CRSIO,AKRZ,ACRIZI,ACRIZI,A262
ACYLDA,SRD,ASRDA,ASILD,ASLD,ACYLD,ACYLDA,A243
ADA,D,ADA,AD,AD,ADA,ADA,A3
ADACIR,DS,ADAS,ADSR,ADS2,ADAC,ADAC,A326
ADAGILSON,DJRS,ADAJRSO,DJLSON,ADJLSM,ADAGILSON,ADAGILSON,A32425
ADAHIR,D,ADAI,ADHR,AD2,ADAH,ADAH,A36
ADAILDES,DRD,ADAIRDE,DAILDIS,ADLDS,ADAILD,ADAILD,A3432
ADAILTON,DT,ADAITO,DAILTON,ADLTM,ADAILTON,ADAILTON,A3435
ADAIR,D,ADAI,ADAIR,AD2,ADA,ADA,A36
ADALBERTO,DRBT,ADARBETO,DLBRTO,ADLBRT,ADALBERT,ADALBERT,A34163
ADALGIDES,DRJD,ADARJDE,DLJDIS,ADLJDS,ADALGID,ADALGID,A34232
ADALRI,DR,ADARI,ADALR,ADLR,ADALR,ADALR,A346
ADALTO,DT,ADATO,ADALT,ADLT,ADALT,ADALT,A343
ADAO,D,AD,ADAO,AD,ADA,ADA,A3
ADÃO,D,AD,ADAO,AD,ADÃ,ADÃ,A3
ADASIO,DS,ADASIO,DSIO,ADZ,ADASI,ADASI,A32
ADAURI,DR,ADAURI,DAURI,ADLR,ADAUR,ADAUR,A36
ADAURINO,DRM,ADAURIMO,DAURNO,ADLRN,ADAURIN,ADAURIN,A365
ADAUTO,DT,ADAUTO,DAUTO,ADLT,ADAUT,ADAUT,A3
ADEGIL,DJ,ADEJ,ADJL,ADJL,ADEGIL,ADEGIL,A324
ADEILTO,DT,ADEITO,DLTO,ADLT,ADEILT,ADEILT,A343
ADEIR,D,ADEI,ADR,AD2,ADE,ADE,A36
ADEJAR,DJ,ADEJA,ADJR,ADJ2,ADEJ,ADEJ,A326
ADELAIDE,DRD,ADERAIDE,DLAIDE,ADLD,ADELAID,ADELAID,A343
ADELAR,DR,ADERA,ADLR,ADL2,ADEL,ADEL,A346
ADELCIO,DRS,ADERSO,DLSIO,ADLS,ADELCI,ADELCI,A342
ADELGICIO,DRJS,ADERJSO,DLJSIO,ADLJS,ADELGICI,ADELGICI,A342
ADELIA,DR,ADERIA,DLIA,ADL,ADEL,ADEL,A34
ADELIANE,DRM,ADERIAME,DLIANE,ADLN,ADELIAN,ADELIAN,A345
ADELINA,DRM,ADERIMA,DLNA,ADLN,ADELIN,ADELIN,A345
ADELINO,DRM,ADERIMO,DLNO,ADLN,ADELIN,ADELIN,A345
ADELJAMI,DRJM,ADERJAMI,DLJMI,ADLJM,ADELJAM,ADELJAM,A3425
ADELMA,DRM,ADERMA,ADILM,ADLM,ADELM,ADELM,A345
ADELMIR,DRM,ADERMI,DLMIR,ADLM2,ADELM,ADELM,A3456
ADELOR,DR,ADERO,ADLR,ADL2,ADEL,ADELOR,A346
ADELQUE,DRK,ADERKUE,DLCUE,ADLK,ADELQU,ADELQU,A342
ADELSON,DRS,ADERSO,DLSON,ADLSM,ADELSON,ADELSON,A3425
ADEMAR,DM,ADEMA,ADMR,ADM2,ADEM,ADEM,A356
ADEMILDES,DMRD,ADEMIRDE,DMLDIS,ADMLDS,ADEMILD,ADEMILD,A35432
ADEMILSON,DMRS,ADEMIRSO,DMLSON,ADMLSM,ADEMILSON,ADEMILSON,A35425
ADEMIR,DM,ADEMI,ADMR,ADM2,ADEM,ADEM,A356
ADENICIO,DMS,ADEMISO,DNSIO,ADNS,ADENICI,ADENICI,A352
ADENILDO,DMRD,ADEMIRDO,DNLDO,ADNLD,ADENILD,ADENILD,A3543
ADENILSON,DMRS,ADEMIRSO,DNLSON,ADNLSM,ADENILSON,ADENILSON,A35425
ADENIS,DM,ADEMI,ADNS,ADNS,ADENIL,ADEN,A352
ADENOR,DM,ADEMO,ADNR,ADN2,ADEN,ADENOR,A356
ADERALVO,DRV,ADERARVO,DRLUO,ADRLV,ADERALV,ADERALV,A3641
ADERSON,DS,ADESO,DRSON,ADRSM,ADERSON,ADERSON,A3625
ADESIL,DS,ADESI,ADSL,ADZL,ADESIL,ADESIL,A324
ADEVALDES,DVRD,ADEVARDE,DUALDIS,ADVLDS,ADEVALD,ADEVALD,A31432
ADEYLSON,DRS,ADEIRSO,DLSON,ADLSM,ADEYLSON,ADEYLSON,A3425
ADGAR,DG,ADGA,ADGR,ADG2,ADG,ADGAR,A326
ADHEMAR,DM,ADEMA,DHMAR,ADM2,ADHEM,ADHEM,A356
ADHEMAYR,DM,ADEMAI,DHMAIR,ADM2,ADHEMAYR,ADHEMAYR,A356
ADHERBAL,DRB,ADERBA,DHRBAL,ADRBL,ADHERB,ADHERBAL,A3614
ADIBIO,DB,ADIBIO,DBIO,ADB,ADIBI,ADIBI,A31
ADILA,DR,ADIRA,ADL,ADL,ADIL,ADIL,A34
ADILAR,DR,ADIRA,ADLR,ADL2,ADIL,ADIL,A346
ADILIA,DR,ADIRIA,DLIA,ADL,ADIL,ADIL,A34
ADILIO,DR,ADIRIO,DLIO,ADL,ADILI,ADILI,A34
ADILO,DR,ADIRO,ADL,ADL,ADIL,ADIL,A34
ADILSO,DRS,ADIRSO,ADILS,ADLS,ADILS,ADILS,A342
ADILSON,DRS,ADIRSO,DLSON,ADLSM,ADILSON,ADILSON,A3425
ADIR,D,ADI,ADR,AD2,ADIR,ADIR,A36
ADIRCIO,DS,ADISO,DRSIO,ADRS,ADIRCI,ADIRCI,A362
ADIRSON,DS,ADISO,DRSON,ADRSM,ADIRSON,ADIRSON,A3625
ADITH,DT,ADIT,ADTH,ADT,ADITH,ADITH,A3
ADMAURO,DMR,ADMAURO,DMAURO,ADMLR,ADMAUR,ADMAUR,A356
ADMILSON,DMRS,ADMIRSO,DMLSON,ADMLSM,ADMILSON,ADMILSON,A35425
ADNETE,DMT,ADMETE,ADNIT,ADNT,ADNET,ADNET,A353
ADNIL,DM,ADMI,ADNL,ADNL,ADNIL,ADNIL,A354
ADNILSON,DMRS,ADMIRSO,DNLSON,ADNLSM,ADNILSON,ADNILSON,A35425
ADOLECIA,DRS,ADORESA,DLSIA,ADLS,ADOLEC,ADOLEC,A342
ADOLFINA,DRFM,ADORFIMA,DLFNA,ADLFN,ADOLFIN,ADOLFIN,A3415
ADOLFO,DRF,ADORFO,ADOLF,ADLF,ADOLF,ADOLF,A341
ADONICA,DMK,ADOMIK,DNCA,ADNK,ADON,ADON,A352
ADONIZETE,DMST,ADOMISETE,DNSTE,ADNZT,ADONIZET,ADONIZET,A3523
ADORILDO,DRD,ADORIRDO,DRLDO,ADRLD,ADORILD,ADORILD,A3643
ADORIVAN,DRV,ADORIVA,DRUAN,ADRVM,ADORIVAN,ADORIVAN,A3615
ADORIZIO,DRS,ADORISIO,DRSIO,ADRZ,ADORIZI,ADORIZI,A362
ADRIANA,DRM,ADRIAMA,DRIANA,ADRN,ADRI,ADRIAN,A365
ADRIANO,DRM,ADRIAMO,DRIANO,ADRN,ADRI,ADRIAN,A365
ADRIELE,DR,ADRIERE,DRIELE,ADRL,ADRIEL,ADRIEL,A364
ADROALDO,DRD,ADROARDO,DROALDO,ADRLD,ADROALD,ADROALD,A3643
ADYR,D,ADI,ADR,AD2,ADYR,ADYR,A36
AECIO,S,AESO,AISIO,AS,AECI,AECI,A2
AEDILA,DR,AEDIRA,AIDLA,ADL,AEDIL,AEDIL,A34
AELIO,R,AERIO,AILIO,AL,AELI,AELI,A4
AELSON,RS,AERSO,AILSON,ALSM,AELSON,AELSON,A425
AELTON,T,AETO,AILTON,ALTM,AELTON,AELTON,A435
AERTON,T,AETO,AIRTON,ARTM,AERTON,AERTON,A635
AFFONSO,FMS,AFOMSO,AFONS,AFFNS,AFFONS,AFFONS,A152
AFONSINA,FMSM,AFOMSIMA,FNSNA,AFNSN,AFONSIN,AFONSIN,A1525
AFONSO,FMS,AFOMSO,AFONS,AFNS,AFONS,AFONS,A152
AFRANIO,FRM,AFRAMIO,FRNIO,AFRN,AFRANI,AFRANI,A165
AFRÂNIO,FRÂM,AFRÂMIO,FRÂNIO,AFRN,AFRÂNI,AFRÂNI,A165
AFRODIZIO,FRDS,AFRODISIO,FRDSIO,AFRDZ,AFRODIZI,AFRODIZI,A1632
AGABIO,GB,AGABIO,GBIO,AGB,AGABI,AGABI,A21
AGAR,G,AGA,AGR,AG2,AG,AGAR,A26
AGDA,GD,AGDA,AGD,AGD,AGD,AGDA,A23
AGELSON,JRS,AJRSO,JLSON,AJLSM,AGELSON,AGELSON,A2425
AGENICIO,JMS,AJMISO,JNSIO,AJNS,AGENICI,AGENICI,A252
AGENOR,JM,AJMO,AJNR,AJN2,AGEN,AGENOR,A256
AGIER,J,AJE,AJIER,AJ2,AGI,AGI,A26
AGILBERTO,JRBT,AJRBETO,JLBRTO,AJLBRT,AGILBERT,AGILBERT,A24163
AGILSON,JRS,AJRSO,JLSON,AJLSM,AGILSON,AGILSON,A2425
AGLICIO,GS,AGISO,GLSIO,AGLS,AGLICI,AGLICI,A242
AGMAR,M,AMA,AGMR,AGM2,AGM,AGMAR,A256
AGNALDO,MRD,AMARDO,GNLDO,AGNLD,AGNALD,AGNALD,A2543
AGNELO,MR,AMERO,AGNIL,AGNL,AGNEL,AGNEL,A254
AGOSTINHA,GTM,AGOTIMA,GSTIA,AGST2,AGOST,AGOSTINH,A235
AGOSTINHO,GTM,AGOTIMO,GSTIO,AGST2,AGOST,AGOSTINH,A235
AGRICIO,GS,AGISO,GRSIO,AGRS,AGRICI,AGRICI,A262
AGRICULA,GKR,AGIKRA,GRCLA,AGRKL,AGRICUL,AGRICUL,A2624
AGRINALDO,GMRD,AGIMARDO,GRNLDO,AGRNLD,AGRINALD,AGRINALD,A26543
AGUIDA,GD,AGUIDA,GUIDA,AGD,AGU,AGU,A23
AGUILAR,GR,AGUIRA,GUILAR,AGL2,AGUIL,AGUIL,A246
AGUIMAR,GM,AGUIMA,GUIMAR,AGM2,AGUIM,AGUIM,A256
AGUINALDO,GMRD,AGUIMARDO,GUINLDO,AGNLD,AGUINALD,AGUINALD,A2543
AHILTON,T,AITO,HLTON,ALTM,AHILTON,AHILTON,A435
AIAS,,AIA,IAS,AS,AIA,AIAS,A2
AIDA,D,AIDA,AIDA,AD,AID,AID,A3
AILDO,RD,AIRDO,AILDO,ALD,AILD,AILD,A43
AILISON,RS,AIRISO,AILSON,ALZM,AILISON,AILISON,A425
AILMA,RM,AIRMA,AILMA,ALM,AILM,AILM,A45
AILSON,RS,AIRSO,AILSON,ALSM,AILSON,AILSON,A425
AILTHON,T,AITO,AILTHON,ALTM,AILTHON,AILTHON,A435
AILTON,T,AITO,AILTON,ALTM,AILTON,AILTON,A435
AILZA,RS,AIRSA,AILSA,ALZ,AILZ,AILZ,A42
AIRTON,T,AITO,AIRTON,ARTM,AIRTON,AIRTON,A635
AJMAR,JM,AJMA,AJMR,AJM2,AJM,AJMAR,A256
ALADIM,RD,ARADI,ALDM,ALDM,ALADIM,ALADIM,A435
ALADIO,RD,ARADIO,LDIO,ALD,ALADI,ALADI,A43
ALAIDE,RD,ARAIDE,LAIDE,ALD,ALAID,ALAID,A43
ALAIDES,RD,ARAIDE,LAIDIS,ALDS,ALAID,ALAID,A432
ALAIDO,RD,ARAIDO,LAIDO,ALD,ALA,ALA,A43
ALAIR,R,ARAI,ALAIR,AL2,ALA,ALA,A46
ALAN,R,ARA,ALN,ALM,ALAN,ALAN,A45
ALAOR,R,AR,ALAOR,AL2,ALA,ALAOR,A46
ALARCON,RK,ARARK,LRCON,ALRKM,ALARCON,ALARCON,A4625
ALARICO,RK,ARARIK,LRCO,ALRK,ALAR,ALAR,A462
ALAYR,R,ARAI,ALAIR,AL2,ALAYR,ALAYR,A46
ALBA,RB,ARBA,ALB,ALB,ALB,ALBA,A41
ALBANIZA,RBMS,ARBAMISA,LBNSA,ALBNZ,ALBANIZ,ALBANIZ,A4152
ALBENIR,RBM,ARBEMI,LBNIR,ALBN2,ALBEN,ALBEN,A4156
ALBENY,RBM,ARBEMI,ALBIN,ALBN,ALBENY,ALBENY,A415
ALBERES,RBR,ARBERE,LBRIS,ALBRS,ALB,ALBER,A4162
ALBERICO,RBRK,ARBERIK,LBRCO,ALBRK,ALBER,ALBER,A4162
ALBERONI,RBRM,ARBEROMI,LBRNI,ALBRN,ALBERON,ALBERON,A4165
ALBERTINA,RBTM,ARBETIMA,LBRTNA,ALBRTN,ALBERTIN,ALBERTIN,A41635
ALBERTINO,RBTM,ARBETIMO,LBRTNO,ALBRTN,ALBERTIN,ALBERTIN,A41635
ALBERTO,RBT,ARBETO,LBRTO,ALBRT,ALBERT,ALBERT,A4163
ALBINA,RBM,ARBIMA,ALBIN,ALBN,ALBIN,ALBIN,A415
ALBINO,RBM,ARBIMO,ALBIN,ALBN,ALBIN,ALBIN,A415
ALCAMIRO,RKMR,ARKMIRO,LCMRO,ALKMR,ALCAMIR,ALCAMIR,A4256
ALCEBIADES,RSBD,ARSBIADE,LSBIADIS,ALSBDS,ALCEBIAD,ALCEBIAD,A42132
ALCEDES,RSD,ARSDE,LSDIS,ALSDS,ALCED,ALCED,A4232
ALCESTES,RST,ARSTE,LSSTIS,ALSSTS,ALC,ALCEST,A4232
ALCEU,RS,ARSU,ALSEU,ALSL,ALC,ALCEU,A42
ALCI,R,AR,ALS,ALS,ALC,ALCI,A42
ALCIDEA,RSD,ARSDEA,LSDIA,ALSD,ALCIDE,ALCID,A423
ALCIDES,RSD,ARSDE,LSDIS,ALSDS,ALCID,ALCID,A4232
ALCIMAR,RSM,ARSMA,LSMAR,ALSM2,ALCIM,ALCIM,A4256
ALCINA,RSM,ARSMA,ALSIN,ALSN,ALCIN,ALCIN,A425
ALCINEO,RSM,ARSMEO,LSNIO,ALSN,ALCINE,ALCIN,A425
ALCINO,RSM,ARSMO,ALSIN,ALSN,ALCIN,ALCIN,A425
ALCIO,RS,ARSO,ALSIO,ALS,ALCI,ALCI,A42
ALCIONEU,RSM,ARSOMEU,LSIONEU,ALSNL,ALCION,ALCION,A425
ALCIR,RS,ARS,ALSR,ALS2,ALC,ALCIR,A426
ALCIRA,RSR,ARSRA,ALSIR,ALSR,ALC,ALCIR,A426
ALCIRIO,RSR,ARSRIO,LSRIO,ALSR,ALCIRI,ALCIRI,A426
ALCIVA,RSV,ARSVA,LSUA,ALSV,ALCIV,ALCIV,A421
ALCY,R,AR,ALS,ALS,ALCY,ALCY,A42
ALDA,RD,ARDA,ALD,ALD,ALD,ALDA,A43
ALDAIR,RD,ARDAI,LDAIR,ALD2,ALDA,ALDA,A436
ALDEBARA,RDBR,ARDEBARA,LDBRA,ALDBR,ALDEB,ALDEB,A4316
ALDECI,RD,ARDE,ALDIS,ALDS,ALDEC,ALDEC,A432
ALDECIR,RDS,ARDES,LDSIR,ALDS2,ALDEC,ALDEC,A4326
ALDEJAMES,RDJM,ARDEJAME,LDJMIS,ALDJMS,ALDEJAM,ALDEJAM,A43252
ALDEMAR,RDM,ARDEMA,LDMAR,ALDM2,ALDEM,ALDEM,A4356
ALDEMIR,RDM,ARDEMI,LDMIR,ALDM2,ALDEM,ALDEM,A4356
ALDEMIRO,RDMR,ARDEMIRO,LDMRO,ALDMR,ALDEMIR,ALDEMIR,A4356
ALDETE,RDT,ARDETE,ALDIT,ALDT,ALDET,ALDET,A43
ALDHEMAR,RDM,ARDEMA,LDHMAR,ALDM2,ALDHEM,ALDHEM,A4356
ALDICEU,RDS,ARDISU,LDSEU,ALDSL,ALDIC,ALDIC,A432
ALDINEA,RDM,ARDIMEA,LDNIA,ALDN,ALDINE,ALDIN,A435
ALDIR,RD,ARDI,ALDR,ALD2,ALD,ALDIR,A436
ALDO,RD,ARDO,ALD,ALD,ALD,ALDO,A43
