,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
0,ABDALA,[ABDALA],[ABDALA],[ABDALA],[ABDALA],[ABDALA],[ABDALA],[ABDALA]
1,ABDIAS,[ABDIAS],[ABDIAS],"[ABDIAS, ABIDIAS, AVIDES]","[ABDIAS, ABIDIAS]",[ABDIAS],"[ABDIAS, ABIDIAS]","[ABDIAS, ABIDIAS]"
2,ABEILARD,[ABEILARD],[ABEILARD],"[ABEILARD, ABELARD]","[ABEILARD, ABELARD, UBALDO]",[ABEILARD],"[ABEILARD, ABELARD]","[ABEILARD, ABELARD]"
3,ABEL,"[ABEL, ABELA]","[ABEL, ABELA]","[ABEL, ABELA, ABILIO]","[ABEL, ABIA, ABRAAO, ABRAO, BRAZ, EBER, EBIO, EBRAIM, HEBE, HEBER, IBIS, IBRAHIM, UEBER]",[ABEL],"[ABEL, ABELA, ABILIO]","[ABEL, ABELA]"
4,ABELA,"[ABEL, ABELA]","[ABEL, ABELA]","[ABEL, ABELA, ABILIO]","[ABELA, ABILIO, BERIL, BORIS, BRAULIO, BYRON, IBERE, IBERIO]",[ABELA],"[ABEL, ABELA, ABILIO]","[ABEL, ABELA]"
5,ABELARD,[ABELARD],[ABELARD],"[ABEILARD, ABELARD]","[ABEILARD, ABELARD, UBALDO]",[ABELARD],"[ABEILARD, ABELARD]","[ABEILARD, ABELARD]"
6,ABELINO,[ABELINO],[ABELINO],"[ABELINO, AVELINO]","[ABELINO, BELANDES, BELINE, BERENICE, BRAULINO, UBELINA]",[ABELINO],[ABELINO],[ABELINO]
7,ABIA,[ABIA],[ABIA],[ABIA],"[ABEL, ABIA, ABRAAO, ABRAO, BRAZ, EBER, EBIO, EBRAIM, HEBE, HEBER, IBIS, IBRAHIM, UEBER]",[ABIA],[ABIA],[ABIA]
8,ABIANOR,[ABIANOR],[ABIANOR],"[ABIANOR, ABINER, ABNER, AVENIR]","[ABIANOR, ABINER, ABNE, ABNER, BENEIR, BENIGNO, BENONE, BIBIANA, BLANDINA, BRENO, BRUNO]",[ABIANOR],"[ABIANOR, ABINER, ABNER]",[ABIANOR]
9,ABIDIAS,[ABIDIAS],[ABIDIAS],"[ABDIAS, ABIDIAS, AVIDES]","[ABDIAS, ABIDIAS]",[ABIDIAS],"[ABDIAS, ABIDIAS]","[ABDIAS, ABIDIAS]"
10,ABIGAIL,[ABIGAIL],[ABIGAIL],[ABIGAIL],[ABIGAIL],[ABIGAIL],[ABIGAIL],[ABIGAIL]
11,ABILIO,[ABILIO],[ABILIO],"[ABEL, ABELA, ABILIO]","[ABELA, ABILIO, BERIL, BORIS, BRAULIO, BYRON, IBERE, IBERIO]",[ABILIO],"[ABEL, ABELA, ABILIO]",[ABILIO]
12,ABINER,[ABINER],[ABINER],"[ABIANOR, ABINER, ABNER, AVENIR]","[ABIANOR, ABINER, ABNE, ABNER, BENEIR, BENIGNO, BENONE, BIBIANA, BLANDINA, BRENO, BRUNO]",[ABINER],"[ABIANOR, ABINER, ABNER]","[ABINER, ABNER]"
13,ABIZAI,[ABIZAI],[ABIZAI],[ABIZAI],"[ABIZAI, HEBERSON]",[ABIZAI],[ABIZAI],[ABIZAI]
