BUSCA;Resultado Esperado;RSLP;ACRSLP;FPRSLP;FNRSLP;F1RSLP;SNOW;ACSNOW;FPSNOW;FNSNOW;F1SNOW;CHAVESOUNDEX;ACCHAVESOUNDEX;FPCHAVESOUNDEX;FNCHAVESOUNDEX;F1CHAVESOUNDEX;BUSCABR_SEM_VOGAL;ACBUSCABRSV;FPBUSCABRSV;FNBUSCABRSV;F1BUSCABRSV;BUSCABR;ACBUSCABR;FPBUSCABR;FNBUSCABR;F1BUSCABR;METAPHONEBR;ACMETAPHONEBR;FPMETAPHONEBR;FNMETAPHONEBR;F1METAPHONEBR;ROBERTO;ACROBERTO;FPROBERTO;FNROBERTO;F1ROBERTO
ABEILARD;ABEILARD,ABELARD;[ABEILARD];1;0;1;0.666666666667;[ABEILARD];1;0;1;0.666666666667;[ABEILARD, ABELARD];2;0;0;1.0;[ABEILARD, ABELARD, UBALDO];2;1;0;0.8;[ABEILARD];1;0;1;0.666666666667;[ABEILARD, ABELARD];2;0;0;1.0;[ABEILARD, ABELARD];2;0;0;1.0
ABRAO;ABRAO,ABRAAO;[ABRAO];1;0;1;0.666666666667;[ABRAO];1;0;1;0.666666666667;[ABRAAO, ABRAO];2;0;0;1.0;[ABEL, ABIA, ABRAAO, ABRAO, BRAZ, EBER, EBIO, EBRAIM, HEBE, HEBER, IBIS, IBRAHIM, UEBER];2;11;0;0.266666666667;[ABRAO];1;0;1;0.666666666667;[ABRAAO, ABRAO];2;0;0;1.0;[ABRAAO, ABRAO];2;0;0;1.0
ADEMAR;ADEMHAR,ADEMAR,ADHEMAYR,ADHEMAR;[ADEMAR, ADEMIR];1;1;3;0.333333333333;[ADEMAR, ADEMIR];1;1;3;0.333333333333;[ADEMAR, ADEMIR, ADENOR, ADHEMAR, ADHEMAYR, ADMAURO];3;3;1;0.6;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];3;38;1;0.133333333333;[ADEMAR, ADHEMAR];2;0;2;0.666666666667;[ADEMAR, ADEMIR, ADHEMAR, ADHEMAYR];3;1;1;0.75;[ADEMAR, ADEMIR];1;1;3;0.333333333333
AFONSO;AFONSO,AFFONSO;[AFONSO];1;0;1;0.666666666667;[AFONSO];1;0;1;0.666666666667;[AFFONSO, AFONSO];2;0;0;1.0;[AFFONSO, AFONSO];2;0;0;1.0;[AFFONSO, AFONSO];2;0;0;1.0;[AFONSO];1;0;1;0.666666666667;[AFFONSO, AFONSO];2;0;0;1.0
AGDA;AGDA,AGUIDA;[AGDA];1;0;1;0.666666666667;[AGDA];1;0;1;0.666666666667;[AGDA, AGUIDA, AUGUSTA, AUGUSTO];2;2;0;0.666666666667;[AGDA, AGUIDA, GLEYDE, GLYDES, GUIDO, IGLEIDE];2;4;0;0.5;[AGDA];1;0;1;0.666666666667;[AGDA, AGUIDA];2;0;0;1.0;[AGDA];1;0;1;0.666666666667
AILTON;AILTON,AHILTON,AIRTON,AYLTON,AYRTON,HAILTON,AELTON;[AILTON];1;0;6;0.25;[AILTON];1;0;6;0.25;[AELTON, AHILTON, AILTHON, AILTON, ALADIM, ALDINEA, ALEILTON, ALILTON, ALTEMIO, ALTHEMIO, ALTINO, AYLTON];4;8;3;0.421052631579;[AELTON, AERTON, AHILTON, AILTHON, AILTON, AIRTON, ALTAIR, ALTAYR, ARTHUR, ARTUR, ASTOR, ASTREIA, ATHOS, AUTA, AYLTON, AYRTON, ELTON, ERTON, ESTER, ESTHER, HAILTON, HEITOR, HELTON, HILTON, HUET, HYLTON, ILTOM, ILTON, ITO, OTTO, TAEL, THAIS, TITO, UOSTON];7;27;0;0.341463414634;[AHILTON, AILTHON, AILTON, AIRTON, AYLTON, AYRTON, HAILTON];6;1;1;0.857142857143;[AELTON, AHILTON, AILTHON, AILTON, ALTEMIO, ALTHEMIO, AYLTON];4;3;3;0.571428571429;[AELTON, AILTON, AYLTON];3;0;4;0.6
ALCIDES;ALCIDES,ALCEDES;[ALCIDES];1;0;1;0.666666666667;[ALCIDEA, ALCIDES];1;1;1;0.5;[ALCEDES, ALCESTES, ALCIDES];2;1;0;0.8;[ALCEDES, ALCIDEA, ALCIDES];2;1;0;0.8;[ALCEDES, ALCIDES];2;0;0;1.0;[ALCEDES, ALCIDES];2;0;0;1.0;[ALCEDES, ALCIDES];2;0;0;1.0
ALCIDES;ALCIDES,ALCEDES;[ALCIDES];1;0;1;0.666666666667;[ALCIDEA, ALCIDES];1;1;1;0.5;[ALCEDES, ALCESTES, ALCIDES];2;1;0;0.8;[ALCEDES, ALCIDEA, ALCIDES];2;1;0;0.8;[ALCEDES, ALCIDES];2;0;0;1.0;[ALCEDES, ALCIDES];2;0;0;1.0;[ALCEDES, ALCIDES];2;0;0;1.0
ALDECI;ALDECI,ALDECIR;[ALDECI, ALDECIR];2;0;0;1.0;[ALDECI, ALDECIR];2;0;0;1.0;[ALAIDES, ALDECI, ALDICEU];1;2;1;0.4;[AILDO, ALADIM, ALADIO, ALAIDE, ALAIDES, ALAIDO, ALDA, ALDAIR, ALDECI, ALDIR, ALDO, ALEIDE, ARIDES, ARILDES, ARILDO, AROLDO, ELADIO, ELADIR, ELDA, ELDER, ELIDA, ELIDIO, ELIDO, ELILDE, ELOIDES, ERALDO, ERILDO, EURIDES, EURYDICE, HAROLDO, HELDER, HELIDA, HERALDO, HERILDO, HILDA, HILDO, HILDON, ILDA, ILDEU, ILIDIA, LAIDE, LAURIDES, LEDA, LEDIR, LEIDA, LIDIA, LIDIO, LOURDES, LUIDE, ORALDO, ORIDES, ORILDO, RILDO, RIORDAM, ROLDAO];1;54;1;0.0350877192982;[ALDECI];1;0;1;0.666666666667;[ALAIDES, ALDECI];1;1;1;0.5;[ALDECI];1;0;1;0.666666666667
ALDEMAR;ALDEMAR,ALDHEMAR;[ALDEMAR, ALDEMIR];1;1;1;0.5;[ALDEMAR, ALDEMIR];1;1;1;0.5;[ALDEMAR, ALDEMIR, ALDEMIRO, ALDHEMAR, ALDOMARIO, ALTAMIR, ALTAMIRO];2;5;0;0.444444444444;[ALDEMAR, ALDEMIR, ALDHEMAR, ALDINEA, ARIADNE, ELIDIMAR, ERDNEI, LAUDINO, LIDIANE, RODINI, RODNEY];2;9;0;0.307692307692;[ALDEMAR, ALDHEMAR];2;0;0;1.0;[ALDEMAR, ALDEMIR, ALDHEMAR];2;1;0;0.8;[ALDEMAR, ELIDIMAR];1;1;1;0.5
ALESSANDRA;ALESSANDRA,ALEXANDRA;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDER, ALEXSANDRO];2;4;0;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDRO, ALZENIRA, ROSEMARI, ROSEMARIE, ROSEMARY, ROSEMERI, ROSEMIRE, ROSENILIA, ROSIMARY, ROZAMARIA, ROZIMERE];2;13;0;0.235294117647;[ALESSANDRA, ALEXANDRA];2;0;0;1.0;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA];1;0;1;0.666666666667
ALESSANDRO;ALESSANDRO,ALEXSANDRO;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDER, ALEXSANDRO];2;4;0;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDRO, ALZENIRA, ROSEMARI, ROSEMARIE, ROSEMARY, ROSEMERI, ROSEMIRE, ROSENILIA, ROSIMARY, ROZAMARIA, ROZIMERE];2;13;0;0.235294117647;[ALESSANDRO, ALEXSANDRO];2;0;0;1.0;[ALESSANDRA, ALESSANDRO];1;1;1;0.5;[ALESSANDRO];1;0;1;0.666666666667
ALEXANDRE;ALEXANDRE,ALEXSANDER;[ALEXANDRA, ALEXANDRE];1;1;1;0.5;[ALEXANDRA, ALEXANDRE];1;1;1;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDER, ALEXSANDRO];2;4;0;0.5;[ALESSANDRA, ALESSANDRO, ALEXANDRA, ALEXANDRE, ALEXSANDRO, ALZENIRA, ROSEMARI, ROSEMARIE, ROSEMARY, ROSEMERI, ROSEMIRE, ROSENILIA, ROSIMARY, ROZAMARIA, ROZIMERE];1;14;1;0.117647058824;[ALEXANDRE];1;0;1;0.666666666667;[ALEXANDRA, ALEXANDRE];1;1;1;0.5;[ALEXANDRE];1;0;1;0.666666666667
