BUSCA;Resultado Esperado;RSLP;ACRSLP;FPRSLP;FNRSLP;F1RSLP;SNOW;ACSNOW;FPSNOW;FNSNOW;F1SNOW;CHAVESOUNDEX;ACCHAVESOUNDEX;FPCHAVESOUNDEX;FNCHAVESOUNDEX;F1CHAVESOUNDEX;BUSCABR_SEM_VOGAL;ACBUSCABRSV;FPBUSCABRSV;FNBUSCABRSV;F1BUSCABRSV;BUSCABR;ACBUSCABR;FPBUSCABR;FNBUSCABR;F1BUSCABR;METAPHONEBR;ACMETAPHONEBR;FPMETAPHONEBR;FNMETAPHONEBR;F1METAPHONEBR;ROBERTO;ACROBERTO;FPROBERTO;FNROBERTO;F1ROBERTO;BAGGING;ACBAGG;FPBAGG;FNBAGG;F1BAGG
ABDIAS;ABDIAS, ABIDIAS;[ABDIAS];1;0;1;0.666666666667;[ABDIAS];1;0;1;0.666666666667;[ABDIAS, ABIDIAS, AVIDES];1;2;1;0.4;[ABDIAS, ABIDIAS];1;1;1;0.5;[ABDIAS];1;0;1;0.666666666667;[ABDIAS, ABIDIAS];1;1;1;0.5;[ABDIAS, ABIDIAS];1;1;1;0.5;[ABIDIAS, ABDIAS];1;1;1;0.5
ABEILARD;ABEILARD,ABELARD;[ABEILARD];1;0;1;0.666666666667;[ABEILARD];1;0;1;0.666666666667;[ABEILARD, ABELARD];2;0;0;1.0;[ABEILARD, ABELARD, UBALDO];2;1;0;0.8;[ABEILARD];1;0;1;0.666666666667;[ABEILARD, ABELARD];2;0;0;1.0;[ABEILARD, ABELARD];2;0;0;1.0;[ABELARD, ABEILARD];2;0;0;1.0
ABELINO;ABELINO,AVELINO;[ABELINO];1;0;1;0.666666666667;[ABELINO];1;0;1;0.666666666667;[ABELINO, AVELINO];2;0;0;1.0;[ABELINO, BELANDES, BELINE, BERENICE, BRAULINO, UBELINA];1;5;1;0.25;[ABELINO];1;0;1;0.666666666667;[ABELINO];1;0;1;0.666666666667;[ABELINO];1;0;1;0.666666666667;[ABELINO];1;0;1;0.666666666667
ABNER;ABINER, ABNER,ABNE;[ABNE, ABNER];1;1;2;0.4;[ABNER];0;1;3;0.0;[ABIANOR, ABINER, ABNER, AVENIR];1;3;2;0.285714285714;[ABIANOR, ABINER, ABNE, ABNER, BENEIR, BENIGNO, BENONE, BIBIANA, BLANDINA, BRENO, BRUNO];2;9;1;0.285714285714;[ABNE, ABNER];1;1;2;0.4;[ABIANOR, ABINER, ABNER];1;2;2;0.333333333333;[ABINER, ABNER];1;1;2;0.4;[ABINER, ABNER];1;1;2;0.4
ABRAO;ABRAO,ABRAAO;[ABRAO];1;0;1;0.666666666667;[ABRAO];1;0;1;0.666666666667;[ABRAAO, ABRAO];2;0;0;1.0;[ABEL, ABIA, ABRAAO, ABRAO, BRAZ, EBER, EBIO, EBRAIM, HEBE, HEBER, IBIS, IBRAHIM, UEBER];2;11;0;0.266666666667;[ABRAO];1;0;1;0.666666666667;[ABRAAO, ABRAO];2;0;0;1.0;[ABRAAO, ABRAO];2;0;0;1.0;[ABRAAO, ABRAO];2;0;0;1.0
ADAIR;ADAHIR, ADAIR;[ADA, ADAIR, ADAO];0;3;2;0.0;[ADA, ADAIR, ADAO];0;3;2;0.0;[ADAHIR, ADAIR, ADAURI, ADEIR, ADIR, ADYR];1;5;1;0.25;[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA];1;44;1;0.0425531914894;[ADAHIR, ADAIR];1;1;1;0.5;[ADAHIR, ADAIR, ADEIR, ADIR, ADYR];1;4;1;0.285714285714;[ADAIR];0;1;2;0.0;[ADAIR, ADAHIR];1;1;1;0.5
ADALTO;ADALTO, ADAUTO;[ADALTO];1;0;1;0.666666666667;[ADALTO];1;0;1;0.666666666667;[ADALTO, ADEILTO, ADELAIDE];1;2;1;0.4;[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE];1;12;1;0.133333333333;[ADALTO];1;0;1;0.666666666667;[ADALTO, ADAUTO, ADEILTO];1;2;1;0.4;[ADALTO];1;0;1;0.666666666667;[ADALTO];1;0;1;0.666666666667
ADEMAR;ADEMHAR,ADEMAR,ADHEMAYR,ADHEMAR;[ADEMAR, ADEMIR];1;1;3;0.333333333333;[ADEMAR, ADEMIR];1;1;3;0.333333333333;[ADEMAR, ADEMIR, ADENOR, ADHEMAR, ADHEMAYR, ADMAURO];3;3;1;0.6;[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA];3;38;1;0.133333333333;[ADEMAR, ADHEMAR];2;0;2;0.666666666667;[ADEMAR, ADEMIR, ADHEMAR, ADHEMAYR];3;1;1;0.75;[ADEMAR, ADEMIR];1;1;3;0.333333333333;[ADHEMAR, ADEMIR, ADEMAR];2;1;2;0.571428571429
ADILA;ADILA, ADILAR, ADILIA;[ADILA, ADILAR, ADILIA, ADILO];1;3;2;0.285714285714;[ADILA, ADILAR, ADILIA, ADILO];1;3;2;0.285714285714;[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, ATILA, ATILIO, AUDALIO, AYDIL];1;9;2;0.153846153846;[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON];1;64;2;0.0294117647059;[ADILA, ADILAR];1;1;2;0.4;[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, AUDALIO, AYDIL];1;7;2;0.181818181818;[ADILA, ADILO];1;1;2;0.4;[ADILO, ADILA];1;1;2;0.4
ADILIO;ADILO,ADILIO;[ADILIO];1;0;1;0.666666666667;[ADILIO];1;0;1;0.666666666667;[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, ATILA, ATILIO, AUDALIO, AYDIL];2;8;0;0.333333333333;[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON];2;63;0;0.0597014925373;[ADILIO];1;0;1;0.666666666667;[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, AUDALIO, AYDIL];2;6;0;0.4;[ADILIO, EDILIO, IDALIO, ODELIO, ODILIO];1;4;1;0.285714285714;[ADILIO];1;0;1;0.666666666667
